English;SK1;SK2;SK3;SK4
ability;schopnost;sposobilost;;
abruptly;nahle;neocakavane;;
according to;podla;;;
according to me;podla mna;;;
accordingly;podla toho;tak;primerane;
accountable;zodpovedny;;;
accustomed;zvyknuty;navyknuty;;
achieve;dosiahnut;dokoncit;vykonat;
acquainted;oboznamit;oboznameny;zoznamit;zoznamit sa
actual;skutocny;aktualny;bezny;
actually;v skutocnosti;vlastne;dokonca;
additionally;okrem toho;dodatocne;;
adjust;prisposobit;;;
admision;vstup;prijem;prijaty;
adverse;nepriaznivy;;;
agile;zivy;svizny;culy;
aim;ciel;ucel;;
aimed at;zamerany na;;;
aisle;ulicka;chodba;;
albeit;hoci;;;
allay;zmiernit;utisit;;
allowing;umoznovat;dovolovat;moct;
ambiguous;nejednoznacny;dvojzmyselny;dvojznacny;
applicable;pouzitelny;;;
appointment;schodzka;stretnutie;zamestnanie;
approach;postoj;ponatie;pristupovat;obratit sa
approach to;pristupit k;;;
arbitrarily;svojvolne;;;
assess;posudit;;;
assessment;posudenie;hodnotenie;;
assume;predpokladat;domnievt sa;usudzovat;prevziat
assuming;za predpokladu ze;;;
assumption;predpoklad;domnienka;;
avoid;vyhnut sa;zabranit;;
awesome;uzasne;;;
awkward;zle navrhnuty;nesikovny;trapny;neprijemny
backpack;batoh;;;
baggage;batozina;;;
basically;v podstate;;;
beneath;pod;dole;naspodku;
beware of;dat si pozor na;;;
blame;vinit;davat za vinu;vina;
bother;obtazovat;;;
cadence;rytmus;kadencia;;
casually;nahodne;;;
causing;sposobuje;;;
caveat;varovanie;namietka;;
circumstances;okolnosti;;;
circumvent;obist;;;
commitment;zavazok;vazba;uvaznenie;oddanost
completion;absolovani;dokoncenie;;
comprehension;chapavost;;;
comprehensive;uplny;suhrny;obsiahly;celkovy
conceptually;koncepcny;;;
concern;znepokojenie;zaujmat sa o;zalezitost;obava
conclusion;zaver;;;
conduct;previest;viest;vykonat;
confidence;dovera;istota;dovernost;
confident;isty;presvedceny;;
confidential;doverny;utajeny;;
confusion;zamena;zmatok;;
congestion;zapcha;zahltenie;pretazenie;
connotation;vyznam;;;
consent;dovolit;suhlasit;suhlas;odobrit
consideration;ohlad;hladisko;zvazenie;
constrain;obmedzit;prinutit;vynutit;drzat v medziach
consume;spotrebovat;konzumovat;minut;
contention;spor;tvrdenie;predmet sporu;
contribute;prispiet;prispievat;podielat;
convenience;pohodlie;vhodnost;vymozenost;vyhoda
convey;vyjadrit;vyjadrovat;oznamit;
corollary;dosledok;;;
countermeasure;protiopatrenia;obrana;opatrenie;
court;sud;ihrisko;nadvorie;uchadzat sa
